cumatrixid,cumatrixtitle,cumatrixgrpids,cumatrixtags,posterid,pvnum,visitduration,accSubscribeNum,logdate,loghour
0000015C8A687A98000000026375706F795F72656C656173654355,Astor 街頭時尚,"['Hedonism_tw', 'life_tw', 'beautysalon_tw']","['健康飲食', '美妝', '購物']",D2510143,1,0,28,2019-07-07,0
00000167E4306181000000026375706F795F72656C656173654355,彭彭老師_Python 入門教學 從初學到精通,"['tech_tw', 'robot_tw']",['python'],B0310653,2,24,18,2019-07-07,0
00000168FF4AF517000000036375706F795F72656C656173654355,林軒田_機器學習技法 Machine Learning Techniques,"['tech_tw', 'robot_tw']",['機器學習'],B0310653,4,8,28,2019-07-07,0
00000168FF4AF517000000036375706F795F72656C656173654355,林軒田_機器學習技法 Machine Learning Techniques,"['tech_tw', 'robot_tw']",['機器學習'],B0310653,4,21,28,2019-07-07,0
0000015B7B51C50D000000086375706F795F72656C656173654355,M.E.魔競,"['GamePlayer_tw', 'Game_tw', 'GameInformation_tw']","['實況主', '數位影音', '遊戲']",49910145,2,0,16,2019-07-07,1
0000015BAAADA6BD0000001C6375706F795F72656C656173654355,小翔 XIANG,"['3CExpert_tw', 'tech_tw', 'mobile_tw']","['3C產品', '產品教學', '產品體驗']",49910145,2,0,39,2019-07-07,6
0000015BFC8C74DB000000036375706F795F72656C656173654355,U-CAR 汽車網站,"['life_tw', 'car_tw']","['汽車', '消費', '車款']",D1010139,2,0,8,2019-07-07,9
000001628AA23F3D000000016375706F795F72656C656173654355,艾蜜莉-自由之路｜投資新手9堂課,"['WhiteCollar_tw', 'business_tw', 'FinancialManagement_tw']","['價值投資法', '投資理財', '艾蜜莉']",B0310653,1,0,49,2019-07-07,10
0000015C8A687A98000000026375706F795F72656C656173654355,Astor 街頭時尚,"['Hedonism_tw', 'life_tw', 'beautysalon_tw']","['健康飲食', '美妝', '購物']",D2510143,2,0,28,2019-07-07,11
0000015C9B785571000000086375706F795F72656C656173654355,茶杯の黑橡木群島系列,"['GamePlayer_tw', 'Game_tw', 'GameInformation_tw']","['實況', '遊戲', '遊戲情報']",49910145,2,0,15,2019-07-07,11
0000015CCB6E61F80000000A6375706F795F72656C656173654355,Mickeyworks米哥開封體驗,"['3CExpert_tw', 'tech_tw', '3c_tw']","['生活', '產品體驗', '科技產品']",97210140,1,0,35,2019-07-07,11
0000015C1F482117000000056375706F795F72656C656173654355,袁騰飛講歷史,"['Reading_tw', 'ReadNovel_tw']","['小說', '歷史', '閱讀']",9B310147,2,0,31,2019-07-07,13
0000015CCB568012000000086375706F795F72656C656173654355,花媽家說故事,"['Babyhome_tw', 'life_tw', 'parenting_tw']","['故事', '親子', '閱讀']",FA910146,4,818,17,2019-07-07,13
00000159AB5EF689000000066375706F795F70726572656C656173654355,首爾就該這樣玩,"['Babyhome_tw', 'CityTour_tw', 'Hedonism_tw', 'life_tw', 'TravelLife_tw']","['旅遊', '韓國', '首爾']",F4810138,4,7,26,2019-07-07,15
0000016A61A250D6000000016375706F795F72656C656173654355,"企業大數據認證( Enterprise Big Data Certification, EBDC ) ","['WhiteCollar_tw', 'business_tw', 'tech_tw', 'management_tw', 'robot_tw']",['empty'],C4410729,2,9,26,2019-07-07,15
