cumatrixid,cumatrixtitle,cumatrixitemid,cumatrixitemtitle,cumatrixgrpids,cumatrixtags,posterid,pvnum,visitduration,accSubscribeNum,logdate
00000159FD38143B000000036375706F795F70726572656C656173654355,人工智能，機器學習，深度學習,00000159FD3CE349000000516375706F795F70726572656C656173654349,大數據2016大事記,"['tech_tw', 'robot_tw']","['人工智能', '機器學習', '深度學習']",97210140,2,82,95,2019-06-30
00000159FD38143B000000036375706F795F70726572656C656173654355,人工智能，機器學習，深度學習,00000159FD3EBB1A000000566375706F795F70726572656C656173654349,樂視合併亞馬遜,"['tech_tw', 'robot_tw']","['人工智能', '機器學習', '深度學習']",97210140,1,8,95,2019-06-30
0000015B034BD8690000000C6375706F795F72656C656173654355,NEWLIFE 健身,0000015E5A2E9D8E0000005B6375706F795F72656C656173654349,負重腹肌訓練: 打造完整腹肌Part 2,"['Fitness_tw', 'Sports_tw', 'life_tw', 'fitness_tw']","['健康', '健身', '運動']",D2510143,1,8,35,2019-06-30
0000015B70D18D1C000000046375706F795F72656C656173654355,復興設計,0000015B70E70806000000D66375706F795F72656C656173654349,復興設計學院╱服裝設計-人體結構繪製教學／即將開課！,"['Hipster_tw', 'design_tw']","['設計作品', '設計學院', '電腦繪圖']",F4810138,1,0,38,2019-06-30
0000015B70D18D1C000000046375706F795F72656C656173654355,復興設計,0000015B70E76BC5000000D76375706F795F72656C656173654349,復興設計學院╱素描水彩班-蘋果繪製／即將開課！,"['Hipster_tw', 'design_tw']","['設計作品', '設計學院', '電腦繪圖']",F4810138,1,1,38,2019-06-30
0000015B70D18D1C000000046375706F795F72656C656173654355,復興設計,0000015B70E79D56000000D86375706F795F72656C656173654349,復興設計學院╱素描水彩班-水壺繪製,"['Hipster_tw', 'design_tw']","['設計作品', '設計學院', '電腦繪圖']",F4810138,1,1,38,2019-06-30
0000015C8339F3F10000000B6375706F795F72656C656173654355,翔麟-Minecraft系列,0000015C8F4FBCF9000004806375706F795F72656C656173654349,※Minecraft※當個創世神※神奇寶貝生存第2季 Ep.13 捕捉依布大作戰,"['GamePlayer_tw', 'Game_tw', 'GameInformation_tw']","['Minecraft', '遊戲', '遊戲實況']",D1010139,1,0,10,2019-06-30
0000015C8339F3F10000000B6375706F795F72656C656173654355,翔麟-Minecraft系列,0000016970620715000193576375706F795F72656C656173654349,警察出動，但最後他還在...※【這個人是誰】Who is This Man ※潛入搜查遊戲,"['GamePlayer_tw', 'Game_tw', 'GameInformation_tw']","['Minecraft', '遊戲', '遊戲實況']",D1010139,1,4,10,2019-06-30
0000015C9B785571000000086375706F795F72656C656173654355,茶杯の黑橡木群島系列,0000015C9B792B970000069E6375706F795F72656C656173654349,牧場物語時間～農場建設～,"['GamePlayer_tw', 'Game_tw', 'GameInformation_tw']","['實況', '遊戲', '遊戲情報']",49910145,1,117,15,2019-06-30
0000015C9B785571000000086375706F795F72656C656173654355,茶杯の黑橡木群島系列,0000015C9B7941080000069F6375706F795F72656C656173654349,黑橡木群島的誕生，系列的開始,"['GamePlayer_tw', 'Game_tw', 'GameInformation_tw']","['實況', '遊戲', '遊戲情報']",49910145,1,101,15,2019-06-30
0000015C9B785571000000086375706F795F72656C656173654355,茶杯の黑橡木群島系列,0000015C9B79B99D000006A56375706F795F72656C656173654349,探索巨大廢棄礦坑,"['GamePlayer_tw', 'Game_tw', 'GameInformation_tw']","['實況', '遊戲', '遊戲情報']",49910145,1,0,15,2019-06-30
0000015C9B785571000000086375706F795F72656C656173654355,茶杯の黑橡木群島系列,00000164E28B26CE000013FC6375706F795F72656C656173654349,【Minecraft】茶杯生存Ep181 📣1.13海豚超音波尋寶法【當個創世神】,"['GamePlayer_tw', 'Game_tw', 'GameInformation_tw']","['實況', '遊戲', '遊戲情報']",49910145,1,43,15,2019-06-30
00000165AD08BC70000000026375706F795F70726572656C656173654355,莫煩_Python3 基礎學 零基礎必修Python入門實作,00000165AD4C7863000000036375706F795F70726572656C656173654349,python基礎 1 安裝,"['tech_tw', 'robot_tw']",['python'],B0310653,2,7,85,2019-06-30
00000165AD08BC70000000026375706F795F70726572656C656173654355,莫煩_Python3 基礎學 零基礎必修Python入門實作,00000165AD500096000000046375706F795F70726572656C656173654349,python基礎 2 print (),"['tech_tw', 'robot_tw']",['python'],B0310653,2,2,85,2019-06-30
00000165AD08BC70000000026375706F795F70726572656C656173654355,莫煩_Python3 基礎學 零基礎必修Python入門實作,00000165AD5147E0000000056375706F795F70726572656C656173654349,python基礎 3 數學 ,"['tech_tw', 'robot_tw']",['python'],B0310653,2,7,85,2019-06-30
00000165AD08BC70000000026375706F795F70726572656C656173654355,莫煩_Python3 基礎學 零基礎必修Python入門實作,00000165AD52377B000000066375706F795F70726572656C656173654349,python基礎 4 自變量 variable ,"['tech_tw', 'robot_tw']",['python'],B0310653,3,56,85,2019-06-30
00000165AD08BC70000000026375706F795F70726572656C656173654355,莫煩_Python3 基礎學 零基礎必修Python入門實作,00000165AD53ED81000000076375706F795F70726572656C656173654349,python基礎 5 while循環 ,"['tech_tw', 'robot_tw']",['python'],B0310653,3,29,85,2019-06-30
00000165AD08BC70000000026375706F795F70726572656C656173654355,莫煩_Python3 基礎學 零基礎必修Python入門實作,00000165AD54BA78000000086375706F795F70726572656C656173654349,python基礎 6 for循環 ,"['tech_tw', 'robot_tw']",['python'],B0310653,2,0,85,2019-06-30
00000165AD08BC70000000026375706F795F70726572656C656173654355,莫煩_Python3 基礎學 零基礎必修Python入門實作,00000165AD55F470000000096375706F795F70726572656C656173654349,python基礎 7 if 條件,"['tech_tw', 'robot_tw']",['python'],B0310653,2,53,85,2019-06-30
00000165AD08BC70000000026375706F795F70726572656C656173654355,莫煩_Python3 基礎學 零基礎必修Python入門實作,00000165AD56B3500000000A6375706F795F70726572656C656173654349,python基礎 8 if else 條件 ,"['tech_tw', 'robot_tw']",['python'],B0310653,2,4,85,2019-06-30
00000165AD08BC70000000026375706F795F70726572656C656173654355,莫煩_Python3 基礎學 零基礎必修Python入門實作,00000165AD577A710000000B6375706F795F70726572656C656173654349,python基礎 9 if elif else ,"['tech_tw', 'robot_tw']",['python'],B0310653,2,2,85,2019-06-30
00000165AD08BC70000000026375706F795F70726572656C656173654355,莫煩_Python3 基礎學 零基礎必修Python入門實作,00000165AD5926D10000000C6375706F795F70726572656C656173654349,python基礎 10 def 函數 ,"['tech_tw', 'robot_tw']",['python'],B0310653,2,68,85,2019-06-30
00000165AD08BC70000000026375706F795F70726572656C656173654355,莫煩_Python3 基礎學 零基礎必修Python入門實作,00000165AD59F1530000000D6375706F795F70726572656C656173654349,python基礎 11 函數 參數 ,"['tech_tw', 'robot_tw']",['python'],B0310653,2,95,85,2019-06-30
