cumatrixid,cumatrixtitle,cumatrixitemid,cumatrixitemtitle,cumatrixgrpids,cumatrixtags,posterid,pvnum,visitduration,accSubscribeNum,logdate,loghour
0000015BD94483BB000000316375706F795F72656C656173654355,Mii 黃小米,00000165576792CD000023416375706F795F72656C656173654349,AD ll 粉底遮瑕一盒搞定？MAYBELLINE 二合一無瑕光圈氣墊實測 Super Cushion Review｜黃小米Mii,"['Hedonism_tw', 'life_tw', 'beautysalon_tw']","['保養', '彩妝', '旅遊']",D2510143,1,2,1,2019-07-14,8
0000015BD94483BB000000316375706F795F72656C656173654355,Mii 黃小米,000001656D3D41E10000041A6375706F795F72656C656173654349,彩妝凹凹賞。23樣日常愛用大集合 Favorites Products 2018｜黃小米Mii,"['Hedonism_tw', 'life_tw', 'beautysalon_tw']","['保養', '彩妝', '旅遊']",D2510143,2,7,1,2019-07-14,8
0000015BD94483BB000000316375706F795F72656C656173654355,Mii 黃小米,0000016582472DBF000004196375706F795F72656C656173654349,比開架更便宜！CATRICE 德國超平價彩妝化全妝。哪些必買？哪些避雷？ Catrice One Brand Makeup｜黃小米Mii,"['Hedonism_tw', 'life_tw', 'beautysalon_tw']","['保養', '彩妝', '旅遊']",D2510143,1,0,1,2019-07-14,8
0000015C3B2F85D30000000C6375706F795F72656C656173654355,囧星人-囧說書,0000015C3B344D2C0000043C6375706F795F72656C656173654349,腦科學、歷史與哲學，今晚你選哪本?,"['Reading_tw', 'ReadNovel_tw']","['書摘', '書籍', '閱讀']",97210140,1,0,35,2019-07-14,9
0000015BFC8C74DB000000036375706F795F72656C656173654355,U-CAR 汽車網站,0000015D35D02D44000000126375706F795F72656C656173654349,5款豪華中大型轎車 華麗大作戰[5/5]動態操控篇 | U-CAR 集體評比(BMW 5er、M.Benz E-Class、Lexus GS、Infiniti Q70 、Volvo S90),"['life_tw', 'car_tw']","['汽車', '消費', '車款']",D1010139,2,19,8,2019-07-14,12
0000015BFC8C74DB000000036375706F795F72656C656173654355,U-CAR 汽車網站,0000015D7DCD4DFC0000004E6375706F795F72656C656173654349,養車10年成本估算 - 5款豪華中大型轎車 華麗大作戰[4/5]持有成本篇 | U-CAR 集體評比 (5 Series、E-Class、GS200t、Q70 、S90),"['life_tw', 'car_tw']","['汽車', '消費', '車款']",D1010139,2,9,8,2019-07-14,12
0000015CCB568012000000086375706F795F72656C656173654355,花媽家說故事,0000015CD08F72D5000000EF6375706F795F72656C656173654349,早知道（下）,"['Babyhome_tw', 'life_tw', 'parenting_tw']","['故事', '親子', '閱讀']",FA910146,1,4,17,2019-07-14,15
0000015CCB568012000000086375706F795F72656C656173654355,花媽家說故事,0000015CD08FE98D000000F06375706F795F72656C656173654349,我不要（上）,"['Babyhome_tw', 'life_tw', 'parenting_tw']","['故事', '親子', '閱讀']",FA910146,1,545,17,2019-07-14,15
0000015CCB568012000000086375706F795F72656C656173654355,花媽家說故事,0000015CD0905307000000F16375706F795F72656C656173654349,我不要（下）,"['Babyhome_tw', 'life_tw', 'parenting_tw']","['故事', '親子', '閱讀']",FA910146,1,529,17,2019-07-14,15
0000015CCB568012000000086375706F795F72656C656173654355,花媽家說故事,0000015E361FF21E000000426375706F795F72656C656173654349,孔雀先生的秘密（上）,"['Babyhome_tw', 'life_tw', 'parenting_tw']","['故事', '親子', '閱讀']",FA910146,1,614,17,2019-07-14,15
0000015CCB568012000000086375706F795F72656C656173654355,花媽家說故事,0000015E4A2CA804000000236375706F795F72656C656173654349,孔雀先生的秘密（下）,"['Babyhome_tw', 'life_tw', 'parenting_tw']","['故事', '親子', '閱讀']",FA910146,1,461,17,2019-07-14,15
0000015D56127F76000000016375706F795F72656C656173654355,加點吉拿棒,0000016BE7B62E4C000087096375706F795F72656C656173654349,《名偵探柯南：紺青之拳》在日本擊敗終局之戰的超強劇場版 ft. ABuLae余渣、亞次圓、SHINN｜週五電影趴 by 加點吉拿棒,"['GamePlayer_tw', 'Hipster_tw', 'life_tw', 'movie_tw']","['影視', '文化', '電影']",49910145,1,4,25,2019-07-14,15
000001628AA23F3D000000016375706F795F72656C656173654355,艾蜜莉-自由之路｜投資新手9堂課,000001628AA4D63C000000016375706F795F72656C656173654349,我完全不懂投資，要怎麼開始？,"['WhiteCollar_tw', 'business_tw', 'FinancialManagement_tw']","['價值投資法', '投資理財', '艾蜜莉']",B0310653,2,260,49,2019-07-14,15
000001628AA23F3D000000016375706F795F72656C656173654355,艾蜜莉-自由之路｜投資新手9堂課,000001628ACBFEAB000000026375706F795F72656C656173654349,投資，達成財務自由的「加速」法則！,"['WhiteCollar_tw', 'business_tw', 'FinancialManagement_tw']","['價值投資法', '投資理財', '艾蜜莉']",B0310653,1,115,49,2019-07-14,15
000001628AA23F3D000000016375706F795F72656C656173654355,艾蜜莉-自由之路｜投資新手9堂課,000001628AD2E005000000036375706F795F72656C656173654349,教你如何選「適合」自己的投資工具！,"['WhiteCollar_tw', 'business_tw', 'FinancialManagement_tw']","['價值投資法', '投資理財', '艾蜜莉']",B0310653,1,402,49,2019-07-14,15
0000015CCB568012000000086375706F795F72656C656173654355,花媽家說故事,0000015CD59B5635000001B26375706F795F72656C656173654349,奇想西遊記 之「妖妖要吃唐僧肉」,"['Babyhome_tw', 'life_tw', 'parenting_tw']","['故事', '親子', '閱讀']",FA910146,1,780,17,2019-07-14,16
0000015CCB568012000000086375706F795F72656C656173654355,花媽家說故事,0000015CD5A18109000001B56375706F795F72656C656173654349,靈靈精精精靈靈（上）,"['Babyhome_tw', 'life_tw', 'parenting_tw']","['故事', '親子', '閱讀']",FA910146,1,0,17,2019-07-14,16
0000015BFC8C74DB000000036375706F795F72656C656173654355,U-CAR 汽車網站,0000015BFC943D770000044B6375706F795F72656C656173654349,跨界交鋒！Toyota C-HR vs. Honda HR-V 試駕前導篇,"['life_tw', 'car_tw']","['汽車', '消費', '車款']",D1010139,1,3,8,2019-07-14,18
0000015BFC8C74DB000000036375706F795F72656C656173654355,U-CAR 汽車網站,0000015BFC953C4F0000044D6375706F795F72656C656173654349,Toyota Sienta vs. Wish - 只是新舊交替？還是超越以往？,"['life_tw', 'car_tw']","['汽車', '消費', '車款']",D1010139,1,0,8,2019-07-14,18
000001623C92A4E8000000036375706F795F72656C656173654355,夯翻鼠|投資理財FQ,000001623C9BE5E40000001B6375706F795F72656C656173654349,敢花錢就代表很有錢？有錢人默默致富的關鍵其實就只有⋯(原來有錢人都這麼做) | 夯翻鼠 說書14,"['WhiteCollar_tw', 'business_tw']","['ETF', '投資教學', '理財知識']",B0310653,1,34,39,2019-07-14,22
000001623C92A4E8000000036375706F795F72656C656173654355,夯翻鼠|投資理財FQ,000001623C9CBFA00000001D6375706F795F72656C656173654349,2乘2不等於4？一組數學公式道盡投資人性～一個投機者的告白(後有小尾巴推書計畫) | 夯翻鼠 說書13,"['WhiteCollar_tw', 'business_tw']","['ETF', '投資教學', '理財知識']",B0310653,1,0,39,2019-07-14,22
00000165AD08BC70000000026375706F795F70726572656C656173654355,莫煩_Python3 基礎學 零基礎必修Python入門實作,00000165AD4C7863000000036375706F795F70726572656C656173654349,python基礎 1 安裝,"['tech_tw', 'robot_tw']",['python'],B0310653,2,91,85,2019-07-14,22
000001661A14B2E2000000016375706F795F70726572656C656173654355,莫煩_有趣的機器學習 新手入門聖經,000001661A3A039A000000016375706F795F70726572656C656173654349,什麼是機器學習? ,['empty'],['empty'],B0310653,1,0,34,2019-07-14,22
