pvnum,visitduration,logdate,loghour
11,53,2019-07-07,0
2,0,2019-07-07,1
2,0,2019-07-07,6
2,0,2019-07-07,9
1,0,2019-07-07,10
5,0,2019-07-07,11
6,818,2019-07-07,13
6,16,2019-07-07,15
10,16,2019-07-07,16
4,0,2019-07-07,18
4,0,2019-07-07,20
4,0,2019-07-07,21
2,0,2019-07-07,23
3,85,2019-07-08,0
29,990,2019-07-08,1
2,0,2019-07-08,3
10,17,2019-07-08,9
4,157,2019-07-08,11
2,0,2019-07-08,13
16,125,2019-07-08,14
37,1878,2019-07-08,15
7,1,2019-07-08,16
7,26,2019-07-08,17
2,0,2019-07-08,18
4,629,2019-07-08,19
4,0,2019-07-08,20
6,39,2019-07-08,22
1,0,2019-07-08,23
2,0,2019-07-09,0
2,0,2019-07-09,2
4,20,2019-07-09,3
1,0,2019-07-09,4
4,0,2019-07-09,10
21,118,2019-07-09,11
4,25,2019-07-09,13
1,0,2019-07-09,14
8,0,2019-07-09,15
4,0,2019-07-09,16
1,0,2019-07-09,17
4,105,2019-07-09,18
6,0,2019-07-09,20
2,0,2019-07-09,21
4,26,2019-07-09,22
6,20,2019-07-09,23
2,0,2019-07-10,0
6,56,2019-07-10,9
9,267,2019-07-10,10
11,434,2019-07-10,11
2,1,2019-07-10,12
9,10,2019-07-10,13
3,9,2019-07-10,14
9,33,2019-07-10,15
7,0,2019-07-10,16
11,10,2019-07-10,17
1,0,2019-07-10,18
19,392,2019-07-10,20
14,305,2019-07-10,21
6,0,2019-07-10,22
2,0,2019-07-10,23
4,13,2019-07-11,2
2,3,2019-07-11,5
2,0,2019-07-11,8
2,47,2019-07-11,9
11,147,2019-07-11,11
1,0,2019-07-11,12
11,76,2019-07-11,13
8,26,2019-07-11,14
7,48,2019-07-11,15
17,734,2019-07-11,16
8,478,2019-07-11,17
1,0,2019-07-11,18
21,2117,2019-07-11,19
6,0,2019-07-11,20
8,21,2019-07-11,21
2,0,2019-07-11,22
3,645,2019-07-12,0
4,45,2019-07-12,1
1,0,2019-07-12,4
8,18,2019-07-12,9
18,432,2019-07-12,10
6,1780,2019-07-12,11
8,4,2019-07-12,12
7,87,2019-07-12,14
7,172,2019-07-12,16
5,16,2019-07-12,17
2,0,2019-07-12,18
2,0,2019-07-12,20
8,17,2019-07-12,21
2,0,2019-07-12,22
2,0,2019-07-12,23
5,0,2019-07-13,0
2,0,2019-07-13,1
2,0,2019-07-13,2
4,0,2019-07-13,3
3,11,2019-07-13,6
2,0,2019-07-13,7
8,149,2019-07-13,8
4,0,2019-07-13,10
12,1332,2019-07-13,11
2,0,2019-07-13,12
17,1306,2019-07-13,14
8,28,2019-07-13,15
4,288,2019-07-13,16
4,72,2019-07-13,17
2,0,2019-07-13,18
15,881,2019-07-13,19
2,0,2019-07-13,20
7,116,2019-07-13,21
2,0,2019-07-13,22
