pagePath,pvnum,vistornum,sessionnum,bounceRate,exitRate,logdate
/,251,134,138,16.7,17.1,2019-07-14
/alltasks,47,22,3,66.7,12.8,2019-07-14
/answercode/,48,21,3,66.7,25.0,2019-07-14
/answercodelist/,292,37,7,0.0,2.4,2019-07-14
/error,71,30,8,50.0,14.1,2019-07-14
/helps,25,18,2,0.0,28.0,2019-07-14
/introduction,67,42,5,20.0,1.5,2019-07-14
/mission/,1153,181,92,1.1,18.9,2019-07-14
/participator/,1355,211,191,17.8,9.6,2019-07-14
/post/,7,4,0,0.0,0.0,2019-07-14
/posts,51,33,5,20.0,7.8,2019-07-14
/ranking/,297,86,24,8.3,10.4,2019-07-14
/samplecode/,128,35,5,40.0,14.1,2019-07-14
/samplecodelist/,461,121,62,21.0,10.4,2019-07-14
/submit/,137,64,12,25.0,8.0,2019-07-14
/,397,205,196,10.7,12.8,2019-07-15
/alltasks,64,35,5,40.0,15.6,2019-07-15
/answercode/,39,22,1,100.0,23.1,2019-07-15
/answercodelist/,205,45,2,0.0,4.4,2019-07-15
/error,105,41,14,50.0,14.3,2019-07-15
/helps,32,24,3,66.7,18.8,2019-07-15
/introduction,113,75,10,40.0,11.5,2019-07-15
/mission/,1470,245,90,2.2,14.9,2019-07-15
/participator/,1515,294,224,29.0,11.9,2019-07-15
/post/,3,1,0,0.0,0.0,2019-07-15
/posts,75,51,9,33.3,9.3,2019-07-15
/ranking/,431,130,36,19.4,8.8,2019-07-15
/samplecode/,148,47,5,80.0,16.2,2019-07-15
/samplecodelist/,624,167,51,21.6,11.2,2019-07-15
/submit/,119,57,5,0.0,5.9,2019-07-15
/,414,214,209,13.4,13.5,2019-07-16
/alltasks,52,30,4,50.0,9.6,2019-07-16
/answercode/,54,26,3,33.3,20.4,2019-07-16
/answercodelist/,172,46,8,0.0,3.5,2019-07-16
/error,100,47,11,63.6,13.0,2019-07-16
/helps,27,17,2,50.0,25.9,2019-07-16
/introduction,80,56,8,12.5,6.2,2019-07-16
/mission/,1247,259,102,3.9,17.4,2019-07-16
/participator/,1396,288,222,27.0,13.4,2019-07-16
/post/,10,3,0,0.0,10.0,2019-07-16
/posts,53,36,4,75.0,13.2,2019-07-16
