qid,qtitle,qtags,assistid,pvnum,visitduration,logdate,loghour
0000016A3676E7860000031C6375706F795F72656C656173655155455354,Day3 圖片網址讀取問題,"['ml100-2', 'try-except', 'ml100-2-d03']",ai_tw,1,339,2019-06-30,6
0000016A3AFBC49E000003996375706F795F72656C656173655155455354,Day003_2_HW 轉檔問題,"['ml100-2', 'try-except', 'ml100-2-d03']",ai_tw,1,20,2019-06-30,6
0000016A4BF4D38D0000006C6375706F795F72656C656173655155455354,D3-2最後函式回傳值和印出圖片問題,"['ml100-2', 'list of array', 'ml100-2-d03']",ai_tw,1,172,2019-06-30,6
0000016A4CEF13F50000007A6375706F795F72656C656173655155455354,HW3-2  如何檢查url是否有效?,"['ml100-2', 'column', 'row', 'ml100-2-d03']",ai_tw,1,39,2019-06-30,6
0000016A5523BAFC000000C86375706F795F72656C656173655155455354,day3 ,"['ml100-2', 'module', 'ml100-2-d03']",ai_tw,1,59,2019-06-30,6
0000016A59A91688000001366375706F795F72656C656173655155455354,003-2HW 無法使用pop,"['ml100-2', '語法', 'pop', 'ml100-2-d03']",ai_tw,1,114,2019-06-30,6
0000016A1FD8E2170000003C6375706F795F72656C656173655155455354,DAY03作業2問題,"['ml100-2', 'ml100-2-d03']",ai_tw,1,29,2019-06-30,7
0000016A2E20F0730000012C6375706F795F72656C656173655155455354,Day3的照片檔案有些無法開,"['ml100-2', 'try-except', 'ml100-2-d03']",ai_tw,1,7,2019-06-30,7
0000016A2F8FC879000001846375706F795F72656C656173655155455354,Day003 作業二 其中兩行程式碼,"['ml100-2', 'request', 'bytesio', 'faq', 'ml100-2-d03']",ai_tw,1,14,2019-06-30,7
0000016A315AFB48000002336375706F795F72656C656173655155455354,Day 3 cannot detect image file,"['ml100-2', 'try-except', 'ml100-2-d03']",ai_tw,2,40,2019-06-30,7
0000016A364AE2860000030B6375706F795F72656C656173655155455354,Day3-2的圖片好像怪怪的,"['ml100-2', 'try-except', 'ml100-2-d03']",ai_tw,1,5,2019-06-30,7
0000016A3651EA10000003146375706F795F72656C656173655155455354,D3-2 例外處理之後，圖片無法顯示,"['ml100-2', 'try-except', 'ml100-2-d03']",ai_tw,1,1502,2019-06-30,7
0000016A2E326291000001316375706F795F72656C656173655155455354,Day3範例程式碼問題,"['ml100-2', 'df', 'ml100-2-d03']",ai_tw,1,0,2019-06-30,8
