assistid,pvnum,visitduration,logdate
ai_tw,177,16063,2019-06-23
ai_tw,349,17705,2019-06-24
ai_tw,522,30758,2019-06-25
ai_tw,452,32351,2019-06-26
ai_tw,226,13193,2019-06-27
ai_tw,333,16491,2019-06-28
ai_tw,252,16681,2019-06-29
ai_tw,173,17351,2019-06-30
ai_tw,328,22115,2019-07-01
ai_tw,928,56770,2019-07-02
ai_tw,517,26625,2019-07-03
ai_tw,553,38729,2019-07-04
ai_tw,435,46783,2019-07-05
ai_tw,354,44247,2019-07-06
ai_tw,370,38709,2019-07-07
ai_tw,592,50033,2019-07-08
ai_tw,978,76080,2019-07-09
ai_tw,509,51857,2019-07-10
ai_tw,453,39156,2019-07-11
ai_tw,575,54923,2019-07-12
ai_tw,485,51495,2019-07-13
ai_tw,582,54034,2019-07-14
ai_tw,651,65099,2019-07-15
ai_tw,663,69038,2019-07-16
ai_tw,543,42756,2019-07-17
ai_tw,367,38511,2019-07-18
ai_tw,523,42763,2019-07-19
ai_tw,435,35955,2019-07-20
ai_tw,248,31468,2019-07-21
ai_tw,351,32973,2019-07-22
ai_tw,459,43530,2019-07-23
ai_tw,512,47070,2019-07-24
ai_tw,351,41794,2019-07-25
ai_tw,298,33756,2019-07-26
ai_tw,177,20270,2019-07-27
ai_tw,196,23433,2019-07-28
ai_tw,307,30853,2019-07-29
ai_tw,340,26265,2019-07-30
ai_tw,340,34410,2019-07-31
ai_tw,1057,47349,2019-08-01
ai_tw,519,31395,2019-08-02
ai_tw,326,28158,2019-08-03
ai_tw,323,25445,2019-08-04
ai_tw,681,46152,2019-08-05
ai_tw,636,37850,2019-08-06
ai_tw,477,30193,2019-08-07
ai_tw,496,34106,2019-08-08
ai_tw,379,40812,2019-08-09
ai_tw,229,20838,2019-08-10
ai_tw,449,44621,2019-08-11
ai_tw,571,47497,2019-08-12
ai_tw,748,45806,2019-08-13
ai_tw,635,44917,2019-08-14
ai_tw,531,34922,2019-08-15
ai_tw,355,19662,2019-08-16
ai_tw,301,36038,2019-08-17
ai_tw,314,19307,2019-08-18
ai_tw,607,27950,2019-08-19
ai_tw,351,25828,2019-08-20
ai_tw,511,31899,2019-08-21
ai_tw,457,29074,2019-08-22
ai_tw,429,23607,2019-08-23
ai_tw,265,11193,2019-08-24
ai_tw,460,30731,2019-08-25
ai_tw,1553,69036,2019-08-26
ai_tw,890,54577,2019-08-27
ai_tw,527,29510,2019-08-28
ai_tw,791,60751,2019-08-29
ai_tw,998,63484,2019-08-30
ai_tw,543,40195,2019-08-31
ai_tw,1155,85808,2019-09-01
ai_tw,1493,104986,2019-09-02
ai_tw,1253,109753,2019-09-03
ai_tw,1511,129341,2019-09-04
ai_tw,1497,134589,2019-09-05
