assistid,pvnum,visitduration,logdate
ai_tw,47,6961,2019-06-23
ai_tw,112,3451,2019-06-24
ai_tw,189,13208,2019-06-25
ai_tw,172,17032,2019-06-26
ai_tw,86,7701,2019-06-27
ai_tw,127,9280,2019-06-28
ai_tw,101,11678,2019-06-29
ai_tw,60,6104,2019-06-30
ai_tw,110,5722,2019-07-01
ai_tw,404,30964,2019-07-02
ai_tw,195,15596,2019-07-03
ai_tw,247,23553,2019-07-04
ai_tw,226,35126,2019-07-05
ai_tw,202,36335,2019-07-06
ai_tw,239,30259,2019-07-07
ai_tw,310,37299,2019-07-08
ai_tw,469,54121,2019-07-09
ai_tw,254,35302,2019-07-10
00000165B2B2925D000000016375706F795F70726572656C656173654355,2,4,2019-07-11
ai_tw,245,33278,2019-07-11
ai_tw,322,41453,2019-07-12
ai_tw,275,38367,2019-07-13
ai_tw,359,40330,2019-07-14
ai_tw,412,51551,2019-07-15
ai_tw,399,59341,2019-07-16
ai_tw,295,32519,2019-07-17
0000016928E02CA2000000056375706F795F72656C656173654355,2,3,2019-07-18
ai_tw,195,28707,2019-07-18
0000016928E02CA2000000056375706F795F72656C656173654355,2,4,2019-07-19
ai_tw,277,32596,2019-07-19
ai_tw,221,23184,2019-07-20
ai_tw,179,26924,2019-07-21
ai_tw,185,24388,2019-07-22
ai_tw,227,28416,2019-07-23
ai_tw,269,35368,2019-07-24
ai_tw,184,26603,2019-07-25
ai_tw,153,19647,2019-07-26
ai_tw,125,14469,2019-07-27
ai_tw,130,18701,2019-07-28
ai_tw,189,23288,2019-07-29
ai_tw,169,17568,2019-07-30
ai_tw,177,29235,2019-07-31
ai_tw,263,23901,2019-08-01
ai_tw,151,15527,2019-08-02
ai_tw,128,23972,2019-08-03
ai_tw,130,20853,2019-08-04
ai_tw,257,35164,2019-08-05
ai_tw,294,29896,2019-08-06
ai_tw,157,22097,2019-08-07
ai_tw,204,26540,2019-08-08
ai_tw,165,28487,2019-08-09
ai_tw,108,14954,2019-08-10
ai_tw,247,34653,2019-08-11
ai_tw,218,27586,2019-08-12
ai_tw,2,10,2019-08-13
ai_tw,276,25796,2019-08-13
ai_tw,239,25535,2019-08-14
ai_tw,191,20869,2019-08-15
ai_tw,167,11654,2019-08-16
ai_tw,148,27230,2019-08-17
ai_tw,122,15054,2019-08-18
ai_tw,238,16566,2019-08-19
ai_tw,144,16716,2019-08-20
ai_tw,199,19590,2019-08-21
ai_tw,190,21425,2019-08-22
ai_tw,146,12733,2019-08-23
ai_tw,94,8998,2019-08-24
ai_tw,135,19014,2019-08-25
ai_tw,484,37227,2019-08-26
ai_tw,277,28528,2019-08-27
ai_tw,187,12847,2019-08-28
ai_tw,261,26435,2019-08-29
ai_tw,420,36594,2019-08-30
ai_tw,259,32832,2019-08-31
ai_tw,501,65363,2019-09-01
ai_tw,638,75073,2019-09-02
ai_tw,598,74209,2019-09-03
ai_tw,674,83052,2019-09-04
ai_tw,655,90716,2019-09-05
