assistid,pvnum,visitduration,logdate,loghour
ai_tw,9,469,2019-07-14,0
ai_tw,5,1610,2019-07-14,1
ai_tw,1,0,2019-07-14,5
ai_tw,6,653,2019-07-14,8
ai_tw,20,1574,2019-07-14,9
ai_tw,9,1111,2019-07-14,10
ai_tw,36,2179,2019-07-14,11
ai_tw,39,975,2019-07-14,12
ai_tw,19,2480,2019-07-14,13
ai_tw,19,6418,2019-07-14,14
ai_tw,31,5635,2019-07-14,15
ai_tw,23,2729,2019-07-14,16
ai_tw,24,2043,2019-07-14,17
ai_tw,30,2983,2019-07-14,18
ai_tw,4,72,2019-07-14,19
ai_tw,11,317,2019-07-14,20
ai_tw,7,761,2019-07-14,21
ai_tw,44,7600,2019-07-14,22
ai_tw,22,721,2019-07-14,23
ai_tw,21,1713,2019-07-15,0
ai_tw,24,2471,2019-07-15,1
ai_tw,1,543,2019-07-15,2
ai_tw,1,585,2019-07-15,8
ai_tw,7,120,2019-07-15,9
ai_tw,37,5385,2019-07-15,10
ai_tw,44,5778,2019-07-15,11
ai_tw,16,1014,2019-07-15,12
ai_tw,6,1252,2019-07-15,13
ai_tw,30,3510,2019-07-15,14
ai_tw,48,6481,2019-07-15,15
ai_tw,25,4651,2019-07-15,16
ai_tw,20,2216,2019-07-15,17
ai_tw,20,1199,2019-07-15,18
ai_tw,7,1084,2019-07-15,19
ai_tw,28,3129,2019-07-15,20
ai_tw,23,3565,2019-07-15,21
ai_tw,32,5419,2019-07-15,22
ai_tw,22,1436,2019-07-15,23
ai_tw,28,3940,2019-07-16,0
ai_tw,14,988,2019-07-16,1
ai_tw,7,1020,2019-07-16,3
ai_tw,11,1038,2019-07-16,4
ai_tw,3,358,2019-07-16,5
ai_tw,5,2243,2019-07-16,7
ai_tw,13,1689,2019-07-16,8
ai_tw,16,1794,2019-07-16,9
ai_tw,15,2616,2019-07-16,10
ai_tw,18,2349,2019-07-16,11
ai_tw,3,50,2019-07-16,12
ai_tw,9,313,2019-07-16,13
ai_tw,46,11187,2019-07-16,14
ai_tw,54,8080,2019-07-16,15
ai_tw,38,7155,2019-07-16,16
ai_tw,29,2313,2019-07-16,17
ai_tw,7,185,2019-07-16,18
ai_tw,1,16,2019-07-16,19
ai_tw,12,2754,2019-07-16,20
ai_tw,18,3147,2019-07-16,21
ai_tw,23,2328,2019-07-16,22
