logdate,1dayActiveUsers
2019-06-23,320
2019-06-24,465
2019-06-25,466
2019-06-26,397
2019-06-27,402
2019-06-28,363
2019-06-29,263
2019-06-30,295
2019-07-01,463
2019-07-02,437
2019-07-03,447
2019-07-04,427
2019-07-05,381
2019-07-06,273
2019-07-07,303
2019-07-08,447
2019-07-09,407
2019-07-10,404
2019-07-11,478
2019-07-12,371
2019-07-13,311
2019-07-14,325
2019-07-15,466
2019-07-16,449
2019-07-17,419
2019-07-18,424
2019-07-19,376
2019-07-20,302
2019-07-21,340
2019-07-22,448
2019-07-23,466
2019-07-24,443
2019-07-25,435
2019-07-26,396
2019-07-27,282
2019-07-28,284
2019-07-29,412
2019-07-30,459
2019-07-31,411
2019-08-01,675
2019-08-02,590
2019-08-03,358
2019-08-04,372
2019-08-05,579
2019-08-06,556
2019-08-07,563
2019-08-08,486
2019-08-09,437
2019-08-10,387
2019-08-11,430
2019-08-12,579
2019-08-13,605
2019-08-14,504
2019-08-15,510
2019-08-16,442
2019-08-17,372
2019-08-18,392
2019-08-19,577
2019-08-20,549
2019-08-21,537
2019-08-22,553
2019-08-23,418
2019-08-24,387
2019-08-25,506
2019-08-26,1183
2019-08-27,1084
2019-08-28,909
2019-08-29,942
2019-08-30,805
2019-08-31,631
2019-09-01,688
2019-09-02,906
2019-09-03,835
2019-09-04,791
2019-09-05,758
