ageGroup,vistornum,sessionnum,logdate
18-24,34,61,2019-07-21
25-34,46,93,2019-07-21
35-44,13,18,2019-07-21
18-24,46,77,2019-07-22
25-34,75,127,2019-07-22
35-44,22,38,2019-07-22
18-24,54,106,2019-07-23
25-34,93,163,2019-07-23
35-44,32,58,2019-07-23
45-54,10,19,2019-07-23
18-24,71,115,2019-07-24
25-34,92,147,2019-07-24
35-44,30,65,2019-07-24
45-54,14,21,2019-07-24
18-24,55,94,2019-07-25
25-34,81,126,2019-07-25
35-44,36,55,2019-07-25
45-54,17,20,2019-07-25
18-24,41,59,2019-07-26
25-34,69,132,2019-07-26
35-44,28,46,2019-07-26
45-54,11,16,2019-07-26
18-24,32,55,2019-07-27
25-34,55,116,2019-07-27
35-44,17,28,2019-07-27
