browser,vistornum,sessionnum,logdate
Android Webview,1,1,2019-07-14
Chrome,269,568,2019-07-14
Edge,9,16,2019-07-14
Firefox,8,12,2019-07-14
Internet Explorer,1,1,2019-07-14
Mozilla Compatible Agent,1,1,2019-07-14
Opera,3,4,2019-07-14
Safari,26,48,2019-07-14
Samsung Internet,1,1,2019-07-14
Android Webview,5,6,2019-07-15
Chrome,386,683,2019-07-15
Edge,8,13,2019-07-15
Firefox,9,15,2019-07-15
Internet Explorer,5,5,2019-07-15
Mozilla Compatible Agent,1,1,2019-07-15
Opera,2,2,2019-07-15
Safari,32,56,2019-07-15
Safari (in-app),2,2,2019-07-15
Samsung Internet,2,2,2019-07-15
UC Browser,7,7,2019-07-15
Android Webview,3,3,2019-07-16
Chrome,395,712,2019-07-16
Edge,5,10,2019-07-16
Firefox,7,16,2019-07-16
Internet Explorer,4,4,2019-07-16
Safari,25,47,2019-07-16
Safari (in-app),2,2,2019-07-16
Samsung Internet,2,3,2019-07-16
Android Webview,3,3,2019-07-17
Chrome,347,598,2019-07-17
Edge,3,4,2019-07-17
Firefox,9,20,2019-07-17
Internet Explorer,3,3,2019-07-17
Opera,2,2,2019-07-17
Safari,46,58,2019-07-17
Safari (in-app),4,4,2019-07-17
Samsung Internet,1,1,2019-07-17
Android Webview,6,8,2019-07-18
Chrome,347,622,2019-07-18
Edge,4,8,2019-07-18
Firefox,12,18,2019-07-18
Internet Explorer,3,3,2019-07-18
Opera,2,2,2019-07-18
Safari,41,57,2019-07-18
Safari (in-app),4,4,2019-07-18
Samsung Internet,1,1,2019-07-18
Android Webview,4,4,2019-07-19
Chrome,313,568,2019-07-19
Edge,8,17,2019-07-19
Firefox,8,11,2019-07-19
Internet Explorer,3,3,2019-07-19
Opera,1,1,2019-07-19
Safari,30,49,2019-07-19
Safari (in-app),3,4,2019-07-19
Samsung Internet,1,2,2019-07-19
UC Browser,1,1,2019-07-19
YaBrowser,1,1,2019-07-19
(not set),1,1,2019-07-20
Android Webview,1,1,2019-07-20
Chrome,244,498,2019-07-20
Edge,8,18,2019-07-20
Firefox,5,12,2019-07-20
Internet Explorer,1,1,2019-07-20
Mozilla Compatible Agent,1,1,2019-07-20
Safari,34,53,2019-07-20
Safari (in-app),5,5,2019-07-20
