ChannelGrouping,vistornum,sessionnum,logdate
(Other),10,27,2019-06-23
Direct,183,328,2019-06-23
Organic Search,100,146,2019-06-23
Referral,11,25,2019-06-23
Social,15,32,2019-06-23
(Other),27,45,2019-06-24
Direct,255,446,2019-06-24
Organic Search,137,233,2019-06-24
Referral,17,41,2019-06-24
Social,29,66,2019-06-24
(Other),20,49,2019-06-25
Direct,260,447,2019-06-25
Organic Search,130,210,2019-06-25
Referral,24,45,2019-06-25
Social,29,62,2019-06-25
(Other),14,33,2019-06-26
Direct,243,404,2019-06-26
Organic Search,100,152,2019-06-26
Referral,13,23,2019-06-26
Social,25,45,2019-06-26
(Other),18,37,2019-06-27
Direct,225,362,2019-06-27
Organic Search,106,168,2019-06-27
Referral,19,37,2019-06-27
Social,33,65,2019-06-27
(Other),12,25,2019-06-28
Direct,199,324,2019-06-28
Organic Search,111,147,2019-06-28
Referral,11,26,2019-06-28
Social,25,39,2019-06-28
(Other),7,15,2019-06-29
Direct,148,283,2019-06-29
Organic Search,83,151,2019-06-29
Referral,10,16,2019-06-29
Social,15,29,2019-06-29
(Other),11,34,2019-06-30
Direct,163,311,2019-06-30
Organic Search,89,140,2019-06-30
Referral,15,28,2019-06-30
Social,19,40,2019-06-30
(Other),23,39,2019-07-01
Direct,261,450,2019-07-01
Organic Search,134,197,2019-07-01
Referral,23,45,2019-07-01
Social,28,57,2019-07-01
(Other),17,28,2019-07-02
Direct,249,439,2019-07-02
Organic Search,126,199,2019-07-02
Referral,20,36,2019-07-02
Social,31,65,2019-07-02
(Other),17,27,2019-07-03
Direct,248,409,2019-07-03
Organic Search,130,193,2019-07-03
Referral,21,34,2019-07-03
Social,23,41,2019-07-03
(Other),18,44,2019-07-04
Direct,217,364,2019-07-04
Organic Search,123,189,2019-07-04
Referral,24,31,2019-07-04
Social,37,56,2019-07-04
(Other),15,32,2019-07-05
Direct,185,314,2019-07-05
Organic Search,127,184,2019-07-05
Referral,21,33,2019-07-05
Social,36,62,2019-07-05
(Other),13,26,2019-07-06
Direct,142,282,2019-07-06
Organic Search,89,148,2019-07-06
Referral,12,29,2019-07-06
Social,21,37,2019-07-06
(Other),12,29,2019-07-07
Direct,165,333,2019-07-07
Organic Search,91,161,2019-07-07
Referral,19,30,2019-07-07
Social,15,45,2019-07-07
(Other),16,30,2019-07-08
Direct,228,425,2019-07-08
Organic Search,140,231,2019-07-08
Referral,21,41,2019-07-08
Social,46,80,2019-07-08
(Other),18,39,2019-07-09
Direct,208,365,2019-07-09
Organic Search,113,218,2019-07-09
Referral,25,38,2019-07-09
Social,42,87,2019-07-09
(Other),17,32,2019-07-10
Direct,198,316,2019-07-10
Organic Search,130,225,2019-07-10
Referral,21,41,2019-07-10
Social,35,74,2019-07-10
(Other),21,34,2019-07-11
Direct,220,367,2019-07-11
Organic Search,162,270,2019-07-11
Referral,31,54,2019-07-11
Social,48,85,2019-07-11
(Other),18,29,2019-07-12
Direct,171,304,2019-07-12
Organic Search,133,249,2019-07-12
Referral,20,32,2019-07-12
Social,31,66,2019-07-12
(Other),12,29,2019-07-13
Direct,147,283,2019-07-13
Organic Search,116,193,2019-07-13
Referral,22,35,2019-07-13
Social,19,47,2019-07-13
(Other),9,27,2019-07-14
Direct,163,339,2019-07-14
Organic Search,107,180,2019-07-14
Referral,20,47,2019-07-14
Social,25,59,2019-07-14
(Other),14,33,2019-07-15
Direct,220,366,2019-07-15
Organic Search,157,252,2019-07-15
Referral,33,54,2019-07-15
Social,40,87,2019-07-15
(Other),15,35,2019-07-16
Direct,203,347,2019-07-16
Organic Search,167,281,2019-07-16
Referral,26,52,2019-07-16
Social,38,82,2019-07-16
(Other),14,25,2019-07-17
Direct,198,322,2019-07-17
Organic Search,159,254,2019-07-17
Referral,22,36,2019-07-17
Social,33,56,2019-07-17
(Other),20,43,2019-07-18
Direct,179,303,2019-07-18
Organic Search,165,277,2019-07-18
Referral,23,38,2019-07-18
Social,35,62,2019-07-18
(Other),20,46,2019-07-19
Direct,165,291,2019-07-19
Organic Search,130,195,2019-07-19
Referral,29,55,2019-07-19
Social,34,74,2019-07-19
(Other),11,24,2019-07-20
Direct,148,310,2019-07-20
Organic Search,109,176,2019-07-20
Referral,15,44,2019-07-20
Social,20,36,2019-07-20
(Other),14,28,2019-07-21
Direct,158,311,2019-07-21
Organic Search,117,208,2019-07-21
Referral,29,64,2019-07-21
Social,23,46,2019-07-21
(Other),18,39,2019-07-22
Direct,201,360,2019-07-22
Organic Search,175,289,2019-07-22
Referral,25,50,2019-07-22
Social,27,52,2019-07-22
(Other),15,32,2019-07-23
Direct,225,415,2019-07-23
Organic Search,163,266,2019-07-23
Referral,23,53,2019-07-23
Social,37,71,2019-07-23
(Other),8,22,2019-07-24
Direct,197,350,2019-07-24
Organic Search,176,269,2019-07-24
Referral,36,55,2019-07-24
Social,30,46,2019-07-24
(Other),14,26,2019-07-25
Direct,202,378,2019-07-25
Organic Search,162,250,2019-07-25
Referral,23,42,2019-07-25
Social,36,54,2019-07-25
(Other),13,20,2019-07-26
Direct,184,297,2019-07-26
Organic Search,144,230,2019-07-26
Referral,22,38,2019-07-26
Social,29,51,2019-07-26
(Other),10,21,2019-07-27
Direct,124,221,2019-07-27
Organic Search,100,156,2019-07-27
Referral,28,52,2019-07-27
Social,19,39,2019-07-27
