country,vistornum,sessionnum,logdate
(not set),1,1,2019-06-30
Canada,2,3,2019-06-30
China,7,7,2019-06-30
Egypt,1,1,2019-06-30
Germany,2,4,2019-06-30
Hong Kong,3,3,2019-06-30
Japan,4,6,2019-06-30
Micronesia,1,1,2019-06-30
Singapore,1,1,2019-06-30
Taiwan,270,522,2019-06-30
Thailand,1,1,2019-06-30
United States,3,3,2019-06-30
(not set),1,1,2019-07-01
Canada,2,2,2019-07-01
China,1,1,2019-07-01
Egypt,2,2,2019-07-01
Germany,2,6,2019-07-01
Hong Kong,6,6,2019-07-01
Japan,7,7,2019-07-01
Macao,1,1,2019-07-01
Malaysia,1,1,2019-07-01
Singapore,1,2,2019-07-01
Taiwan,428,748,2019-07-01
Thailand,2,2,2019-07-01
United States,9,9,2019-07-01
Canada,2,2,2019-07-02
China,1,6,2019-07-02
Germany,1,2,2019-07-02
Hong Kong,2,2,2019-07-02
Ireland,1,1,2019-07-02
Japan,5,6,2019-07-02
Netherlands,2,2,2019-07-02
Russia,1,1,2019-07-02
Singapore,1,1,2019-07-02
Taiwan,413,737,2019-07-02
Thailand,1,1,2019-07-02
United States,4,6,2019-07-02
China,6,13,2019-07-03
Germany,2,5,2019-07-03
Hong Kong,5,5,2019-07-03
Japan,4,5,2019-07-03
Malaysia,1,1,2019-07-03
Northern Mariana Islands,1,1,2019-07-03
Singapore,2,2,2019-07-03
Taiwan,410,667,2019-07-03
Thailand,1,1,2019-07-03
United States,4,4,2019-07-03
China,7,10,2019-07-04
France,1,1,2019-07-04
Hong Kong,4,4,2019-07-04
Japan,3,4,2019-07-04
Malaysia,1,1,2019-07-04
Singapore,1,1,2019-07-04
Taiwan,390,654,2019-07-04
United States,9,9,2019-07-04
(not set),2,3,2019-07-05
China,3,4,2019-07-05
Germany,3,6,2019-07-05
Japan,4,7,2019-07-05
Malaysia,1,3,2019-07-05
Netherlands,1,1,2019-07-05
Singapore,1,1,2019-07-05
Taiwan,363,597,2019-07-05
United Arab Emirates,1,1,2019-07-05
United States,2,2,2019-07-05
Canada,1,1,2019-07-06
China,3,4,2019-07-06
France,1,1,2019-07-06
Germany,1,3,2019-07-06
Hong Kong,6,6,2019-07-06
Japan,1,2,2019-07-06
Taiwan,256,500,2019-07-06
United States,5,5,2019-07-06
