daysSinceLastSession,vistornum,sessionnum,pvnum,logdate
0,208,399,2931,2019-06-30
1,55,55,252,2019-06-30
10,2,2,27,2019-06-30
13,3,3,12,2019-06-30
14,2,2,2,2019-06-30
16,1,1,2,2019-06-30
17,1,1,23,2019-06-30
176,1,1,1,2019-06-30
18,1,1,1,2019-06-30
19,2,2,33,2019-06-30
2,26,26,268,2019-06-30
20,2,2,5,2019-06-30
21,1,1,1,2019-06-30
24,1,1,38,2019-06-30
25,1,1,4,2019-06-30
27,1,1,19,2019-06-30
3,12,12,80,2019-06-30
31,1,1,9,2019-06-30
38,1,1,7,2019-06-30
4,12,12,102,2019-06-30
5,10,10,91,2019-06-30
6,7,7,72,2019-06-30
61,1,1,26,2019-06-30
67,1,1,6,2019-06-30
7,6,6,61,2019-06-30
73,1,1,16,2019-06-30
8,2,2,15,2019-06-30
0,311,530,3245,2019-07-01
1,58,58,482,2019-07-01
10,1,1,1,2019-07-01
11,6,6,19,2019-07-01
12,3,3,56,2019-07-01
15,1,1,18,2019-07-01
16,4,4,40,2019-07-01
17,3,3,38,2019-07-01
18,1,1,2,2019-07-01
19,1,1,35,2019-07-01
2,59,59,687,2019-07-01
20,1,1,4,2019-07-01
21,1,1,72,2019-07-01
25,3,3,4,2019-07-01
29,1,1,7,2019-07-01
3,46,46,507,2019-07-01
33,1,1,5,2019-07-01
4,25,25,336,2019-07-01
41,3,3,16,2019-07-01
47,1,1,1,2019-07-01
5,17,17,92,2019-07-01
52,1,1,4,2019-07-01
56,1,1,5,2019-07-01
6,9,9,50,2019-07-01
60,1,1,1,2019-07-01
7,2,2,4,2019-07-01
72,1,1,11,2019-07-01
78,1,1,45,2019-07-01
8,4,4,26,2019-07-01
9,2,2,46,2019-07-01
0,347,618,4745,2019-07-02
1,64,64,419,2019-07-02
10,1,1,8,2019-07-02
11,1,1,1,2019-07-02
12,3,3,38,2019-07-02
13,2,2,8,2019-07-02
14,1,1,1,2019-07-02
16,4,4,33,2019-07-02
17,1,1,1,2019-07-02
2,11,11,58,2019-07-02
21,1,1,4,2019-07-02
22,2,2,28,2019-07-02
23,1,1,2,2019-07-02
25,1,1,0,2019-07-02
