device,vistornum,sessionnum,logdate
desktop,282,609,2019-07-14
mobile,34,40,2019-07-14
tablet,3,3,2019-07-14
desktop,410,735,2019-07-15
mobile,46,53,2019-07-15
tablet,4,4,2019-07-15
desktop,402,751,2019-07-16
mobile,40,45,2019-07-16
tablet,1,1,2019-07-16
desktop,361,618,2019-07-17
mobile,48,66,2019-07-17
tablet,9,9,2019-07-17
desktop,371,662,2019-07-18
mobile,45,57,2019-07-18
tablet,4,4,2019-07-18
desktop,329,604,2019-07-19
mobile,36,47,2019-07-19
tablet,8,10,2019-07-19
desktop,256,537,2019-07-20
mobile,37,43,2019-07-20
tablet,7,10,2019-07-20
