gender,vistornum,sessionnum,logdate
female,58,113,2019-06-03
male,205,351,2019-06-03
female,58,88,2019-06-04
male,169,303,2019-06-04
female,59,90,2019-06-05
male,178,301,2019-06-05
female,44,62,2019-06-06
male,118,179,2019-06-06
female,25,46,2019-06-07
male,81,147,2019-06-07
female,21,43,2019-06-08
male,70,150,2019-06-08
female,30,50,2019-06-09
male,75,163,2019-06-09
female,49,76,2019-06-10
male,127,204,2019-06-10
female,40,63,2019-06-11
male,126,213,2019-06-11
female,33,59,2019-06-12
male,132,227,2019-06-12
female,39,73,2019-06-13
male,110,178,2019-06-13
female,30,52,2019-06-14
male,77,124,2019-06-14
female,20,28,2019-06-15
male,81,142,2019-06-15
female,23,50,2019-06-16
male,83,153,2019-06-16
female,26,44,2019-06-17
male,108,187,2019-06-17
female,31,72,2019-06-18
male,95,161,2019-06-18
female,44,70,2019-06-19
male,128,199,2019-06-19
female,54,86,2019-06-20
male,139,229,2019-06-20
female,36,46,2019-06-21
male,120,182,2019-06-21
female,25,49,2019-06-22
male,86,153,2019-06-22
female,28,49,2019-06-23
male,88,151,2019-06-23
female,46,62,2019-06-24
male,132,248,2019-06-24
female,39,61,2019-06-25
male,132,252,2019-06-25
female,36,59,2019-06-26
male,124,210,2019-06-26
female,42,62,2019-06-27
male,123,208,2019-06-27
female,37,43,2019-06-28
male,121,181,2019-06-28
female,29,52,2019-06-29
male,83,150,2019-06-29
female,22,49,2019-06-30
male,91,153,2019-06-30
female,47,70,2019-07-01
male,154,248,2019-07-01
female,44,62,2019-07-02
male,131,254,2019-07-02
female,34,60,2019-07-03
male,154,250,2019-07-03
female,41,53,2019-07-04
male,134,219,2019-07-04
female,36,52,2019-07-05
male,120,199,2019-07-05
female,24,45,2019-07-06
male,98,201,2019-07-06
female,22,53,2019-07-07
male,95,213,2019-07-07
female,29,50,2019-07-08
male,157,292,2019-07-08
female,33,49,2019-07-09
male,144,270,2019-07-09
female,42,64,2019-07-10
male,159,265,2019-07-10
female,43,62,2019-07-11
male,131,216,2019-07-11
female,35,60,2019-07-12
male,95,169,2019-07-12
female,24,36,2019-07-13
male,75,144,2019-07-13
female,20,41,2019-07-14
male,96,185,2019-07-14
female,37,44,2019-07-15
male,128,213,2019-07-15
female,50,71,2019-07-16
male,121,195,2019-07-16
female,39,68,2019-07-17
male,133,215,2019-07-17
female,30,43,2019-07-18
male,113,184,2019-07-18
female,27,35,2019-07-19
male,99,159,2019-07-19
female,21,31,2019-07-20
male,89,159,2019-07-20
female,23,40,2019-07-21
male,77,152,2019-07-21
female,34,52,2019-07-22
male,119,203,2019-07-22
female,48,80,2019-07-23
male,152,288,2019-07-23
female,42,61,2019-07-24
male,172,298,2019-07-24
female,36,51,2019-07-25
male,164,260,2019-07-25
female,28,38,2019-07-26
male,135,236,2019-07-26
female,26,40,2019-07-27
male,84,172,2019-07-27
female,29,44,2019-07-28
male,95,166,2019-07-28
female,41,63,2019-07-29
male,138,264,2019-07-29
female,38,65,2019-07-30
male,151,269,2019-07-30
female,46,63,2019-07-31
male,140,223,2019-07-31
female,71,106,2019-08-01
male,245,393,2019-08-01
female,54,99,2019-08-02
male,185,320,2019-08-02
female,32,53,2019-08-03
male,126,213,2019-08-03
female,39,84,2019-08-04
male,137,262,2019-08-04
female,56,87,2019-08-05
male,200,352,2019-08-05
female,70,113,2019-08-06
male,183,323,2019-08-06
female,64,99,2019-08-07
male,190,319,2019-08-07
female,45,63,2019-08-08
male,148,242,2019-08-08
female,42,68,2019-08-09
male,147,242,2019-08-09
female,33,61,2019-08-10
male,137,240,2019-08-10
female,41,67,2019-08-11
male,145,227,2019-08-11
female,51,83,2019-08-12
male,215,387,2019-08-12
female,57,86,2019-08-13
male,192,321,2019-08-13
female,40,62,2019-08-14
male,161,261,2019-08-14
female,31,52,2019-08-15
male,173,266,2019-08-15
female,37,49,2019-08-16
male,141,211,2019-08-16
female,28,39,2019-08-17
male,120,214,2019-08-17
female,32,46,2019-08-18
male,127,219,2019-08-18
female,46,63,2019-08-19
male,202,334,2019-08-19
female,46,66,2019-08-20
male,179,282,2019-08-20
female,51,66,2019-08-21
male,160,249,2019-08-21
female,59,79,2019-08-22
male,174,250,2019-08-22
