interestAffinityCategory,vistornum,sessionnum,logdate
Banking & Finance/Avid Investors,46,80,2019-06-23
Beauty & Wellness/Beauty Mavens,22,37,2019-06-23
Beauty & Wellness/Frequently Visits Salons,55,94,2019-06-23
Food & Dining/Coffee Shop Regulars,47,100,2019-06-23
Food & Dining/Cooking Enthusiasts,36,57,2019-06-23
Food & Dining/Cooking Enthusiasts/30 Minute Chefs,35,52,2019-06-23
Food & Dining/Cooking Enthusiasts/Aspiring Chefs,20,50,2019-06-23
Food & Dining/Fast Food Cravers,53,92,2019-06-23
Food & Dining/Foodies,39,73,2019-06-23
Food & Dining/Frequently Dines Out/Diners by Meal/Frequently Eats Breakfast Out,15,31,2019-06-23
Food & Dining/Frequently Dines Out/Diners by Meal/Frequently Eats Dinner Out,46,88,2019-06-23
Food & Dining/Frequently Dines Out/Diners by Meal/Frequently Eats Lunch Out,50,92,2019-06-23
Home & Garden/Do-It-Yourselfers,51,88,2019-06-23
Home & Garden/Home Decor Enthusiasts,18,40,2019-06-23
Lifestyles & Hobbies/Art & Theater Aficionados,59,118,2019-06-23
Lifestyles & Hobbies/Business Professionals,66,122,2019-06-23
Lifestyles & Hobbies/Family-Focused,24,53,2019-06-23
Lifestyles & Hobbies/Fashionistas,28,50,2019-06-23
Lifestyles & Hobbies/Frequently Attends Live Events,42,70,2019-06-23
Lifestyles & Hobbies/Green Living Enthusiasts,61,119,2019-06-23
Lifestyles & Hobbies/Nightlife Enthusiasts,45,86,2019-06-23
Lifestyles & Hobbies/Outdoor Enthusiasts,49,92,2019-06-23
Lifestyles & Hobbies/Pet Lovers,21,45,2019-06-23
Lifestyles & Hobbies/Shutterbugs,65,119,2019-06-23
Lifestyles & Hobbies/Thrill Seekers,26,46,2019-06-23
Media & Entertainment/Book Lovers,33,61,2019-06-23
Media & Entertainment/Comics & Animation Fans,59,105,2019-06-23
Media & Entertainment/Gamers,51,94,2019-06-23
Media & Entertainment/Gamers/Action Game Fans,21,31,2019-06-23
Media & Entertainment/Gamers/Adventure & Strategy Game Fans,30,54,2019-06-23
Media & Entertainment/Gamers/Casual & Social Gamers,14,31,2019-06-23
Media & Entertainment/Gamers/Hardcore Gamers,38,66,2019-06-23
