interestInMarketCategory,vistornum,sessionnum,logdate
Apparel & Accessories,20,32,2019-06-03
Apparel & Accessories/Women's Apparel,11,18,2019-06-03
Autos & Vehicles/Auto Repair & Maintenance,21,44,2019-06-03
Autos & Vehicles/Motor Vehicles,56,102,2019-06-03
Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Tesla Motors,11,20,2019-06-03
Autos & Vehicles/Motor Vehicles/Motor Vehicles by Type/Scooters & Mopeds,12,24,2019-06-03
Autos & Vehicles/Motor Vehicles/Motor Vehicles by Type/SUVs,10,18,2019-06-03
Autos & Vehicles/Vehicles (Other)/Bicycles & Accessories,11,15,2019-06-03
Beauty Products & Services/Hair Care Products,16,36,2019-06-03
Beauty Products & Services/Makeup & Cosmetics,22,42,2019-06-03
Beauty Products & Services/Skin Care Products,10,21,2019-06-03
Business Services,33,65,2019-06-03
Business Services/Advertising & Marketing Services,135,271,2019-06-03
Business Services/Business Financial Services,19,33,2019-06-03
Business Services/Business Technology,34,59,2019-06-03
Business Services/Business Technology/Enterprise Software,132,280,2019-06-03
Business Services/Business Technology/Enterprise Software/Collaboration & Conferencing Tools,20,52,2019-06-03
Business Services/Business Technology/Network Systems & Services,32,64,2019-06-03
Business Services/Business Technology/Network Systems & Services/Hosted Data & Cloud Storage,39,76,2019-06-03
Business Services/Business Technology/Network Systems & Services/Network & Enterprise Security,36,80,2019-06-03
Business Services/Business Technology/Network Systems & Services/Network Management,21,35,2019-06-03
Business Services/Business Technology/Web Services/Web Design & Development,65,132,2019-06-03
Business Services/Business Technology/Web Services/Web Hosting,26,43,2019-06-03
Business Services/Payment Processing & Merchant Services,12,22,2019-06-03
Business Services/Staffing & Recruitment Services,18,27,2019-06-03
Computers & Peripherals/Computer Accessories & Components,67,107,2019-06-03
Computers & Peripherals/Computer Accessories & Components/Computer Monitors,14,22,2019-06-03
Computers & Peripherals/Computer Accessories & Components/Memory & Storage,38,62,2019-06-03
Computers & Peripherals/Computers,10,22,2019-06-03
Computers & Peripherals/Computers/Laptops & Notebooks,46,81,2019-06-03
Computers & Peripherals/Computers/Tablets & Ultraportable Devices,31,51,2019-06-03
Consumer Electronics/Mobile Phones,117,207,2019-06-03
Dating Services,36,75,2019-06-03
Education/Foreign Language Study,48,106,2019-06-03
Education/Post-Secondary Education,66,139,2019-06-03
Education/Post-Secondary Education/Technology Education,96,207,2019-06-03
Education/Primary & Secondary Schools (K-12),49,87,2019-06-03
Education/Test Preparation & Tutoring,31,58,2019-06-03
Employment,95,172,2019-06-03
Employment/Career Consulting Services,42,75,2019-06-03
Employment/Internships,16,26,2019-06-03
Employment/IT & Technical Jobs,73,140,2019-06-03
Employment/Sales & Marketing Jobs,14,20,2019-06-03
Event Tickets/Concert & Music Festival Tickets,11,18,2019-06-03
Financial Services/Banking Services,49,93,2019-06-03
Financial Services/Credit & Lending/Credit Cards,23,37,2019-06-03
Financial Services/Insurance,14,28,2019-06-03
Financial Services/Investment Services,126,235,2019-06-03
Financial Services/Tax Services,39,67,2019-06-03
Gifts & Occasions/Holiday Items & Decorations,24,42,2019-06-03
Real Estate/Residential Properties,49,92,2019-06-03
Software/Antivirus & Security Software,50,104,2019-06-03
Software/Business & Productivity Software,153,295,2019-06-03
Software/Design Software,11,14,2019-06-03
Software/Design Software/Drawing & Animation Software,53,110,2019-06-03
Software/Design Software/Photo Software,40,78,2019-06-03
Software/Video Software,19,39,2019-06-03
Sports & Fitness/Outdoor Recreational Equipment/Camping & Hiking Equipment,14,30,2019-06-03
Telecom/Internet Service Providers,27,50,2019-06-03
Telecom/Mobile Phone Service Providers,11,19,2019-06-03
Travel/Air Travel,61,106,2019-06-03
Travel/Bus & Rail Travel,27,49,2019-06-03
Travel/Car Rental,18,29,2019-06-03
Travel/Hotels & Accommodations,53,104,2019-06-03
Travel/Trips by Destination/Trips to Asia-Pacific,100,168,2019-06-03
Travel/Trips by Destination/Trips to Asia-Pacific/Trips to China,12,14,2019-06-03
Travel/Trips by Destination/Trips to Asia-Pacific/Trips to Japan,20,30,2019-06-03
Travel/Trips by Destination/Trips to Asia-Pacific/Trips to Taipei,38,69,2019-06-03
Travel/Vacation Packages,13,21,2019-06-03
Apparel & Accessories,27,34,2019-06-04
Apparel & Accessories/Women's Apparel,13,19,2019-06-04
Autos & Vehicles/Auto Repair & Maintenance,18,26,2019-06-04
Autos & Vehicles/Motor Vehicles,43,66,2019-06-04
Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Tesla Motors,13,17,2019-06-04
Beauty Products & Services/Hair Care Products,13,17,2019-06-04
Beauty Products & Services/Makeup & Cosmetics,23,30,2019-06-04
Business Services,26,44,2019-06-04
Business Services/Advertising & Marketing Services,115,196,2019-06-04
Business Services/Business Financial Services,16,29,2019-06-04
Business Services/Business Technology,30,49,2019-06-04
Business Services/Business Technology/Enterprise Software,113,206,2019-06-04
Business Services/Business Technology/Enterprise Software/Collaboration & Conferencing Tools,18,34,2019-06-04
Business Services/Business Technology/Network Systems & Services,20,35,2019-06-04
Business Services/Business Technology/Network Systems & Services/Hosted Data & Cloud Storage,39,73,2019-06-04
Business Services/Business Technology/Network Systems & Services/Network & Enterprise Security,32,62,2019-06-04
Business Services/Business Technology/Network Systems & Services/Network Management,14,23,2019-06-04
Business Services/Business Technology/Web Services/Web Design & Development,60,113,2019-06-04
Business Services/Business Technology/Web Services/Web Hosting,15,29,2019-06-04
Business Services/Payment Processing & Merchant Services,11,17,2019-06-04
Business Services/Staffing & Recruitment Services,17,28,2019-06-04
Computers & Peripherals/Computer Accessories & Components,55,84,2019-06-04
Computers & Peripherals/Computer Accessories & Components/Computer Monitors,11,19,2019-06-04
Computers & Peripherals/Computer Accessories & Components/Memory & Storage,35,59,2019-06-04
Computers & Peripherals/Computers/Laptops & Notebooks,30,44,2019-06-04
Computers & Peripherals/Computers/Tablets & Ultraportable Devices,22,41,2019-06-04
Consumer Electronics/Mobile Phones,102,169,2019-06-04
Dating Services,34,50,2019-06-04
Education/Foreign Language Study,40,68,2019-06-04
Education/Post-Secondary Education,64,111,2019-06-04
Education/Post-Secondary Education/Technology Education,78,142,2019-06-04
Education/Primary & Secondary Schools (K-12),47,80,2019-06-04
Education/Test Preparation & Tutoring,26,46,2019-06-04
Employment,81,143,2019-06-04
Employment/Career Consulting Services,37,64,2019-06-04
Employment/Internships,11,17,2019-06-04
Employment/IT & Technical Jobs,64,116,2019-06-04
Employment/Temporary & Seasonal Jobs,10,12,2019-06-04
Financial Services/Banking Services,28,57,2019-06-04
Financial Services/Credit & Lending/Credit Cards,22,35,2019-06-04
Financial Services/Insurance,11,22,2019-06-04
Financial Services/Investment Services,101,178,2019-06-04
Financial Services/Tax Services,29,53,2019-06-04
Gifts & Occasions/Holiday Items & Decorations,17,30,2019-06-04
Home & Garden/Home Decor,11,12,2019-06-04
Real Estate/Residential Properties,38,79,2019-06-04
Software/Antivirus & Security Software,34,58,2019-06-04
Software/Business & Productivity Software,128,218,2019-06-04
Software/Design Software/Drawing & Animation Software,45,87,2019-06-04
Software/Design Software/Photo Software,33,55,2019-06-04
Software/Video Software,10,19,2019-06-04
Telecom/Internet Service Providers,24,39,2019-06-04
Telecom/Mobile Phone Service Providers,12,15,2019-06-04
Travel/Air Travel,51,95,2019-06-04
Travel/Bus & Rail Travel,24,47,2019-06-04
Travel/Car Rental,16,24,2019-06-04
Travel/Hotels & Accommodations,43,84,2019-06-04
Travel/Trips by Destination/Trips to Asia-Pacific,87,143,2019-06-04
Travel/Trips by Destination/Trips to Asia-Pacific/Trips to China,10,10,2019-06-04
Travel/Trips by Destination/Trips to Asia-Pacific/Trips to Japan,14,20,2019-06-04
Travel/Trips by Destination/Trips to Asia-Pacific/Trips to Taipei,36,62,2019-06-04
Apparel & Accessories,25,39,2019-06-05
Autos & Vehicles/Auto Repair & Maintenance,15,19,2019-06-05
Autos & Vehicles/Motor Vehicles,46,72,2019-06-05
Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Tesla Motors,13,15,2019-06-05
Autos & Vehicles/Motor Vehicles/Motor Vehicles by Type/Scooters & Mopeds,12,15,2019-06-05
Beauty Products & Services/Hair Care Products,15,24,2019-06-05
Beauty Products & Services/Makeup & Cosmetics,18,29,2019-06-05
Business Services,28,40,2019-06-05
Business Services/Advertising & Marketing Services,118,179,2019-06-05
Business Services/Business Financial Services,14,23,2019-06-05
Business Services/Business Technology,29,48,2019-06-05
Business Services/Business Technology/Enterprise Software,113,193,2019-06-05
Business Services/Business Technology/Enterprise Software/Collaboration & Conferencing Tools,12,18,2019-06-05
Business Services/Business Technology/Network Systems & Services,20,29,2019-06-05
Business Services/Business Technology/Network Systems & Services/Hosted Data & Cloud Storage,36,47,2019-06-05
Business Services/Business Technology/Network Systems & Services/Network & Enterprise Security,41,63,2019-06-05
Business Services/Business Technology/Network Systems & Services/Network Management,14,21,2019-06-05
Business Services/Business Technology/Web Services/Web Design & Development,50,88,2019-06-05
Business Services/Business Technology/Web Services/Web Hosting,24,39,2019-06-05
Business Services/Payment Processing & Merchant Services,13,15,2019-06-05
Business Services/Staffing & Recruitment Services,15,27,2019-06-05
Computers & Peripherals/Computer Accessories & Components,58,87,2019-06-05
Computers & Peripherals/Computer Accessories & Components/Computer Monitors,12,17,2019-06-05
Computers & Peripherals/Computer Accessories & Components/Memory & Storage,40,68,2019-06-05
Computers & Peripherals/Computers,12,16,2019-06-05
Computers & Peripherals/Computers/Laptops & Notebooks,27,40,2019-06-05
