interestOtherCategory,vistornum,sessionnum,logdate
Arts & Entertainment/Celebrities & Entertainment News,10,14,2019-07-21
Arts & Entertainment/Comics & Animation/Anime & Manga,29,56,2019-07-21
Arts & Entertainment/Music & Audio/Pop Music,30,61,2019-07-21
Arts & Entertainment/Music & Audio/World Music/East Asian Music,33,58,2019-07-21
Arts & Entertainment/TV & Video/Online Video,31,52,2019-07-21
Arts & Entertainment/TV & Video/TV Shows & Programs/TV Dramas,15,22,2019-07-21
Books & Literature/E-Books,29,52,2019-07-21
Computers & Electronics/Programming/Scripting Languages,19,48,2019-07-21
Games/Roleplaying Games,18,26,2019-07-21
Internet & Telecom/Search Engines,19,32,2019-07-21
Internet & Telecom/Web Portals,17,27,2019-07-21
Jobs & Education/Education/Colleges & Universities,13,31,2019-07-21
News/Business News/Financial Markets News,14,26,2019-07-21
Online Communities/Social Networks,16,29,2019-07-21
Science/Computer Science/Machine Learning & Artificial Intelligence,26,61,2019-07-21
Science/Mathematics/Statistics,17,35,2019-07-21
Sports/Team Sports/Basketball,10,16,2019-07-21
Travel/Air Travel,15,29,2019-07-21
Arts & Entertainment/Celebrities & Entertainment News,15,17,2019-07-22
Arts & Entertainment/Comics & Animation/Anime & Manga,29,50,2019-07-22
Arts & Entertainment/Music & Audio/Pop Music,39,72,2019-07-22
Arts & Entertainment/Music & Audio/World Music/East Asian Music,41,75,2019-07-22
Arts & Entertainment/TV & Video/Online Video,46,71,2019-07-22
Books & Literature/E-Books,45,66,2019-07-22
Computers & Electronics/Enterprise Technology/Data Management,11,16,2019-07-22
Computers & Electronics/Programming/Scripting Languages,39,64,2019-07-22
Food & Drink/Restaurants,15,20,2019-07-22
Games/Computer & Video Games/Browser Games,10,12,2019-07-22
Games/Computer & Video Games/Strategy Games,15,20,2019-07-22
Games/Roleplaying Games,24,35,2019-07-22
Internet & Telecom/Email & Messaging,11,22,2019-07-22
Internet & Telecom/Mobile & Wireless/Mobile Apps & Add-Ons,13,16,2019-07-22
Internet & Telecom/Mobile & Wireless/Mobile Phones/Smart Phones,12,22,2019-07-22
Internet & Telecom/Search Engines,20,29,2019-07-22
Internet & Telecom/Web Portals,18,28,2019-07-22
Internet & Telecom/Web Services/Web Design & Development,15,25,2019-07-22
Jobs & Education/Education/Colleges & Universities,23,45,2019-07-22
Jobs & Education/Jobs/Job Listings,10,12,2019-07-22
News/Business News/Financial Markets News,24,37,2019-07-22
News/Politics/Campaigns & Elections,18,24,2019-07-22
Online Communities/Social Networks,18,40,2019-07-22
Reference/General Reference/Dictionaries & Encyclopedias,19,33,2019-07-22
Science/Computer Science/Machine Learning & Artificial Intelligence,48,85,2019-07-22
Science/Mathematics,11,22,2019-07-22
Science/Mathematics/Statistics,21,40,2019-07-22
Sports/Team Sports/Baseball,15,28,2019-07-22
