medium,vistornum,sessionnum,logdate
(none),363,642,2019-06-03
(not set),24,40,2019-06-03
organic,128,211,2019-06-03
referral,50,103,2019-06-03
(none),331,595,2019-06-04
(not set),20,36,2019-06-04
organic,131,193,2019-06-04
referral,48,83,2019-06-04
(none),300,500,2019-06-05
(not set),21,37,2019-06-05
organic,128,192,2019-06-05
referral,52,91,2019-06-05
(none),265,441,2019-06-06
(not set),24,40,2019-06-06
organic,114,184,2019-06-06
referral,42,85,2019-06-06
(none),230,444,2019-06-07
(not set),15,34,2019-06-07
organic,86,153,2019-06-07
referral,41,88,2019-06-07
(none),199,448,2019-06-08
(not set),9,22,2019-06-08
organic,89,167,2019-06-08
referral,36,82,2019-06-08
(none),241,501,2019-06-09
(not set),13,30,2019-06-09
organic,107,191,2019-06-09
referral,39,110,2019-06-09
(none),490,827,2019-06-10
(not set),46,89,2019-06-10
organic,162,248,2019-06-10
referral,89,189,2019-06-10
(none),357,680,2019-06-11
(not set),31,70,2019-06-11
organic,164,285,2019-06-11
referral,53,109,2019-06-11
(none),323,567,2019-06-12
(not set),23,44,2019-06-12
organic,149,250,2019-06-12
referral,57,111,2019-06-12
(none),324,581,2019-06-13
(not set),21,42,2019-06-13
organic,138,235,2019-06-13
referral,64,116,2019-06-13
(none),275,492,2019-06-14
(not set),21,37,2019-06-14
organic,110,179,2019-06-14
referral,42,81,2019-06-14
(none),234,484,2019-06-15
(not set),17,45,2019-06-15
organic,101,177,2019-06-15
referral,39,76,2019-06-15
(none),278,602,2019-06-16
(not set),23,63,2019-06-16
organic,116,216,2019-06-16
referral,47,112,2019-06-16
(none),361,609,2019-06-17
(not set),26,42,2019-06-17
organic,128,221,2019-06-17
referral,51,108,2019-06-17
(none),290,519,2019-06-18
(not set),21,36,2019-06-18
organic,136,219,2019-06-18
referral,52,97,2019-06-18
(none),262,421,2019-06-19
(not set),14,27,2019-06-19
organic,104,141,2019-06-19
referral,49,75,2019-06-19
(none),251,406,2019-06-20
(not set),19,24,2019-06-20
organic,132,204,2019-06-20
referral,44,100,2019-06-20
(none),216,354,2019-06-21
(not set),14,35,2019-06-21
organic,116,159,2019-06-21
referral,50,74,2019-06-21
(none),169,319,2019-06-22
(not set),16,44,2019-06-22
organic,73,111,2019-06-22
referral,25,42,2019-06-22
(none),183,328,2019-06-23
(not set),10,27,2019-06-23
organic,100,146,2019-06-23
referral,26,57,2019-06-23
(none),255,446,2019-06-24
(not set),27,45,2019-06-24
organic,137,233,2019-06-24
referral,46,107,2019-06-24
(none),260,447,2019-06-25
(not set),20,49,2019-06-25
organic,130,210,2019-06-25
referral,53,107,2019-06-25
(none),243,404,2019-06-26
(not set),14,33,2019-06-26
organic,100,152,2019-06-26
referral,38,68,2019-06-26
(none),225,362,2019-06-27
(not set),18,37,2019-06-27
organic,106,168,2019-06-27
referral,51,102,2019-06-27
(none),199,324,2019-06-28
(not set),12,25,2019-06-28
organic,111,147,2019-06-28
referral,36,65,2019-06-28
(none),148,283,2019-06-29
(not set),7,15,2019-06-29
organic,83,151,2019-06-29
referral,25,45,2019-06-29
(none),163,311,2019-06-30
(not set),11,34,2019-06-30
organic,89,140,2019-06-30
referral,34,68,2019-06-30
(none),261,450,2019-07-01
(not set),23,39,2019-07-01
organic,134,197,2019-07-01
referral,51,102,2019-07-01
(none),249,439,2019-07-02
(not set),17,28,2019-07-02
organic,126,199,2019-07-02
referral,51,101,2019-07-02
(none),248,409,2019-07-03
(not set),17,27,2019-07-03
organic,130,193,2019-07-03
referral,44,75,2019-07-03
(none),217,364,2019-07-04
(not set),18,44,2019-07-04
organic,123,189,2019-07-04
referral,61,87,2019-07-04
(none),185,314,2019-07-05
(not set),15,32,2019-07-05
organic,127,184,2019-07-05
referral,57,95,2019-07-05
(none),142,282,2019-07-06
(not set),13,26,2019-07-06
organic,89,148,2019-07-06
referral,33,66,2019-07-06
(none),165,333,2019-07-07
(not set),12,29,2019-07-07
organic,91,161,2019-07-07
referral,34,75,2019-07-07
(none),228,425,2019-07-08
(not set),16,30,2019-07-08
organic,140,231,2019-07-08
referral,67,121,2019-07-08
(none),208,365,2019-07-09
(not set),18,39,2019-07-09
organic,113,218,2019-07-09
referral,67,125,2019-07-09
(none),198,316,2019-07-10
(not set),17,32,2019-07-10
organic,130,225,2019-07-10
referral,56,115,2019-07-10
(none),220,367,2019-07-11
(not set),21,34,2019-07-11
organic,162,270,2019-07-11
referral,79,139,2019-07-11
(none),171,304,2019-07-12
(not set),18,29,2019-07-12
