vistornum,newSessionPercent,sessionnum,bounceRate,avgSessionDuration,pageviews,pageviewsPerSession,logdate
318,558.0,13,15.9,606.8,3922,7.0,2019-06-23
461,831.0,13,16.5,551.0,5873,7.1,2019-06-24
461,813.0,14,13.2,619.6,6284,7.7,2019-06-25
393,657.0,12,15.4,587.9,4486,6.8,2019-06-26
398,669.0,12,17.3,533.7,4460,6.7,2019-06-27
358,561.0,13,18.5,591.1,3975,7.1,2019-06-28
262,494.0,12,17.4,722.8,3797,7.7,2019-06-29
294,553.0,10,17.4,692.6,4104,7.4,2019-06-30
460,788.0,13,17.0,603.1,5859,7.4,2019-07-01
434,767.0,16,14.2,636.7,5982,7.8,2019-07-02
433,704.0,14,17.8,595.7,5235,7.4,2019-07-03
414,684.0,15,14.0,642.7,4927,7.2,2019-07-04
378,625.0,13,14.2,513.9,4154,6.6,2019-07-05
273,522.0,12,12.6,668.6,3564,6.8,2019-07-06
301,598.0,11,16.1,602.1,3762,6.3,2019-07-07
444,807.0,12,17.0,628.9,5844,7.2,2019-07-08
403,747.0,11,13.9,680.2,5860,7.8,2019-07-09
398,688.0,11,19.2,565.4,4653,6.8,2019-07-10
473,810.0,16,15.4,564.4,5348,6.6,2019-07-11
371,680.0,16,15.4,604.8,4600,6.8,2019-07-12
310,587.0,16,15.8,665.5,4361,7.4,2019-07-13
319,652.0,12,14.6,727.5,5153,7.9,2019-07-14
459,792.0,16,18.1,653.8,6267,7.9,2019-07-15
443,797.0,13,16.4,575.4,5783,7.3,2019-07-16
418,693.0,19,17.3,534.1,4427,6.4,2019-07-17
420,723.0,15,16.5,476.7,4498,6.2,2019-07-18
373,661.0,15,16.9,561.3,4984,7.5,2019-07-19
300,590.0,14,14.7,615.2,4266,7.2,2019-07-20
338,657.0,16,17.8,581.8,4445,6.8,2019-07-21
446,790.0,14,19.6,536.9,5513,7.0,2019-07-22
456,837.0,16,14.6,626.9,6059,7.2,2019-07-23
441,742.0,21,16.8,571.7,5479,7.4,2019-07-24
431,750.0,17,14.8,587.1,6071,8.1,2019-07-25
390,636.0,17,16.5,649.7,4699,7.4,2019-07-26
277,489.0,17,21.5,621.2,3643,7.4,2019-07-27
282,534.0,18,20.0,574.1,3441,6.4,2019-07-28
405,726.0,17,16.9,581.7,5851,8.1,2019-07-29
452,776.0,18,20.2,615.6,5631,7.3,2019-07-30
407,653.0,20,18.2,646.4,4669,7.2,2019-07-31
670,1077.0,31,15.8,529.6,8838,8.2,2019-08-01
581,969.0,28,14.0,529.8,7615,7.9,2019-08-02
353,613.0,20,16.3,662.9,4759,7.8,2019-08-03
370,669.0,18,13.3,620.5,5480,8.2,2019-08-04
573,987.0,21,15.0,590.4,8328,8.4,2019-08-05
550,975.0,19,14.2,585.9,7742,7.9,2019-08-06
559,954.0,20,16.4,535.8,7609,8.0,2019-08-07
481,806.0,17,19.6,487.2,5698,7.1,2019-08-08
435,757.0,20,20.1,512.4,5319,7.0,2019-08-09
384,684.0,17,19.0,606.5,5484,8.0,2019-08-10
424,740.0,18,18.1,523.2,5311,7.2,2019-08-11
576,1063.0,16,15.8,468.4,6905,6.5,2019-08-12
602,1027.0,19,14.8,516.6,8252,8.0,2019-08-13
497,813.0,17,18.1,452.7,5768,7.1,2019-08-14
505,826.0,15,17.1,450.1,5560,6.7,2019-08-15
438,687.0,19,19.9,413.4,4814,7.0,2019-08-16
372,612.0,16,18.5,508.0,4223,6.9,2019-08-17
390,654.0,17,20.9,458.0,3853,5.9,2019-08-18
573,944.0,18,18.8,415.6,6936,7.3,2019-08-19
544,856.0,21,21.7,427.8,5382,6.3,2019-08-20
531,784.0,18,18.0,423.7,5966,7.6,2019-08-21
547,805.0,22,18.1,432.0,5952,7.4,2019-08-22
415,620.0,22,21.8,422.8,4016,6.5,2019-08-23
386,589.0,25,20.2,479.8,4184,7.1,2019-08-24
505,843.0,22,17.2,594.3,7411,8.8,2019-08-25
1166,2067.0,24,16.4,522.0,16074,7.8,2019-08-26
1079,1850.0,17,16.3,518.3,13166,7.1,2019-08-27
904,1440.0,15,16.1,417.7,9587,6.7,2019-08-28
937,1664.0,15,17.5,479.1,11241,6.8,2019-08-29
801,1499.0,13,15.4,603.3,10778,7.2,2019-08-30
629,1241.0,12,14.3,596.7,9180,7.4,2019-08-31
682,1421.0,11,14.8,682.8,12110,8.5,2019-09-01
900,1729.0,12,17.1,578.3,13029,7.5,2019-09-02
828,1649.0,11,14.6,673.7,13055,7.9,2019-09-03
784,1473.0,11,13.9,670.1,12060,8.2,2019-09-04
754,1437.0,12,14.9,586.7,10492,7.3,2019-09-05
