operatingSystem,vistornum,sessionnum,logdate
(not set),1,1,2019-06-30
Android,20,22,2019-06-30
iOS,8,10,2019-06-30
Linux,7,12,2019-06-30
Macintosh,59,115,2019-06-30
Windows,199,393,2019-06-30
(not set),2,2,2019-07-01
Android,27,36,2019-07-01
iOS,16,24,2019-07-01
Linux,17,23,2019-07-01
Macintosh,91,160,2019-07-01
Windows,307,543,2019-07-01
(not set),1,1,2019-07-02
Android,21,28,2019-07-02
iOS,26,30,2019-07-02
Linux,18,27,2019-07-02
Macintosh,81,155,2019-07-02
Windows,287,526,2019-07-02
Android,17,19,2019-07-03
iOS,16,17,2019-07-03
Linux,6,11,2019-07-03
Macintosh,73,126,2019-07-03
Windows,321,531,2019-07-03
Android,12,13,2019-07-04
iOS,18,19,2019-07-04
Linux,17,21,2019-07-04
Macintosh,74,146,2019-07-04
Windows,293,485,2019-07-04
Android,27,31,2019-07-05
iOS,12,12,2019-07-05
Linux,10,19,2019-07-05
Macintosh,62,116,2019-07-05
Windows,267,447,2019-07-05
(not set),1,1,2019-07-06
Android,13,14,2019-07-06
Chrome OS,1,1,2019-07-06
iOS,16,18,2019-07-06
Linux,6,11,2019-07-06
Macintosh,55,103,2019-07-06
Windows,181,374,2019-07-06
