logdate,vistornum,newvistornum,returnvistornum,sessionnum,newsessionnum,returnsessionnum
2019-06-03,563,103,460,996,103,893
2019-06-04,526,100,426,907,100,807
2019-06-05,496,109,387,820,109,711
2019-06-06,442,95,347,750,95,655
2019-06-07,371,84,287,719,84,635
2019-06-08,332,69,263,719,69,650
2019-06-09,399,72,327,832,72,760
2019-06-10,770,302,468,1353,302,1051
2019-06-11,597,139,458,1144,139,1005
2019-06-12,549,124,425,972,124,848
2019-06-13,544,98,446,974,98,876
2019-06-14,444,86,358,789,86,703
2019-06-15,384,72,312,782,72,710
2019-06-16,461,98,363,993,98,895
2019-06-17,562,151,411,980,151,829
2019-06-18,495,93,402,871,93,778
2019-06-19,428,92,336,664,92,572
2019-06-20,442,104,338,734,104,630
2019-06-21,395,103,292,622,103,519
2019-06-22,282,56,226,516,56,460
2019-06-23,318,73,245,558,73,485
2019-06-24,461,109,352,831,109,722
2019-06-25,461,114,347,813,114,699
2019-06-26,393,84,309,657,84,573
2019-06-27,398,86,312,669,86,583
2019-06-28,358,74,284,561,74,487
2019-06-29,262,60,202,494,60,434
2019-06-30,294,59,235,553,59,494
2019-07-01,460,106,354,788,106,682
2019-07-02,434,126,308,767,126,641
2019-07-03,433,102,331,704,102,602
2019-07-04,414,108,306,684,108,576
2019-07-05,378,86,292,625,86,539
2019-07-06,273,67,206,522,67,455
2019-07-07,301,71,230,598,71,527
2019-07-08,444,98,346,807,98,709
2019-07-09,403,86,317,747,86,661
2019-07-10,398,77,321,688,77,611
2019-07-11,473,133,340,810,133,677
2019-07-12,371,111,260,680,111,569
2019-07-13,310,95,215,587,95,492
2019-07-14,319,83,236,652,83,569
2019-07-15,459,128,331,792,128,664
2019-07-16,443,111,332,797,111,686
2019-07-17,418,134,284,693,134,559
2019-07-18,420,109,311,723,109,614
2019-07-19,373,102,271,661,102,559
2019-07-20,300,86,214,590,86,504
2019-07-21,338,108,230,657,108,549
2019-07-22,446,116,330,790,116,674
2019-07-23,456,139,317,837,139,698
2019-07-24,441,157,284,742,157,585
2019-07-25,431,134,297,750,134,616
2019-07-26,390,109,281,636,109,527
2019-07-27,277,86,191,489,86,403
2019-07-28,282,101,181,534,101,433
2019-07-29,405,124,281,726,124,602
2019-07-30,452,142,310,776,142,634
2019-07-31,407,133,274,653,133,520
2019-08-01,670,340,330,1077,340,737
2019-08-02,581,277,304,969,277,692
2019-08-03,353,127,226,613,127,486
2019-08-04,370,123,247,669,123,546
2019-08-05,573,211,362,987,211,776
2019-08-06,550,187,363,975,187,788
2019-08-07,559,196,363,954,196,758
2019-08-08,481,144,337,806,144,662
2019-08-09,435,153,282,757,153,604
2019-08-10,384,121,263,684,121,563
2019-08-11,424,138,286,740,138,602
2019-08-12,576,176,400,1063,176,887
2019-08-13,602,200,402,1027,200,827
2019-08-14,497,141,356,813,141,672
2019-08-15,505,131,374,826,131,695
2019-08-16,438,136,302,687,136,551
2019-08-17,372,103,269,612,103,509
2019-08-18,390,115,275,654,115,539
2019-08-19,573,175,398,944,175,769
2019-08-20,544,185,359,856,185,671
2019-08-21,531,147,384,784,147,637
2019-08-22,547,184,363,805,184,621
